,0,1,2
0,0.0041126157,0.00046292195,0.99542445
1,0.0043465714,0.000112976595,0.99554044
2,0.016219014,0.00049772544,0.9832833
3,0.011042868,0.0015200742,0.9874371
4,0.03406063,0.0020615417,0.96387786
5,0.004689011,0.99409133,0.0012196745
6,0.27264524,0.6664882,0.060866605
7,0.0046252436,0.99405175,0.0013229385
8,0.01523761,0.0039230925,0.98083925
9,0.04817809,0.9398157,0.012006254
10,0.048648696,0.0050626164,0.9462887
11,0.009343159,0.0005957686,0.99006104
12,0.012582624,0.0022190406,0.9851983
13,0.0018114581,0.9974458,0.00074262737
14,0.00951264,0.0001428899,0.99034446
15,0.066499434,0.9076666,0.025833981
16,0.0043076677,0.00025238472,0.9954399
17,0.042640775,0.011234554,0.9461247
18,0.0011063115,0.9944534,0.0044403714
19,0.5099234,0.029704228,0.4603724
20,0.00410272,0.00026640188,0.99563086
21,0.3644948,0.03585421,0.59965104
22,0.023841416,0.9713401,0.0048184805
23,0.12318004,0.81334716,0.06347283
24,0.032623067,0.94710904,0.020267876
25,0.0073037604,0.0005209038,0.9921753
26,0.0057723233,0.9926392,0.001588474
27,0.027455522,0.96836424,0.0041802344
28,0.013389862,0.00029022162,0.98631984
29,0.02714388,0.002598298,0.9702579
30,0.3208741,0.04714507,0.63198084
31,0.013180945,0.00019439252,0.9866246
32,0.0073487395,0.98978734,0.002863908
33,0.016465105,0.9640405,0.019494388
34,0.028999513,0.0026361544,0.9683643
35,0.019052962,0.003805094,0.9771419
36,0.024110988,0.0013792985,0.9745097
37,0.5807579,0.08361173,0.3356304
38,0.013299989,0.00046240626,0.98623765
39,0.004346101,0.0006012678,0.99505264
40,0.03229435,0.0018530438,0.9658527
41,0.040795162,0.0027097487,0.95649505
42,0.0029308933,0.00010767413,0.9969614
43,0.03592929,0.0070554106,0.95701534
44,0.042120785,0.0035448973,0.9543343
45,0.012161556,0.0012528138,0.9865856
46,0.0045051742,0.99408674,0.0014080919
47,0.009346369,0.9885809,0.002072666
48,0.02444894,0.0037279942,0.9718231
49,0.031731024,0.012624098,0.9556449
50,0.006676356,0.00097083626,0.9923528
51,0.03240287,0.0118675735,0.9557295
52,0.0027210356,2.9038734e-05,0.9972499
53,0.008314839,0.00043455677,0.99125063
54,0.34790844,0.03461261,0.6174789
55,0.012522067,0.00032504683,0.9871529
56,0.008034403,0.9902222,0.0017434376
57,0.0020650746,0.9954699,0.0024650113
58,0.0030094385,0.00015941409,0.9968311
59,0.1473321,0.012949816,0.83971804
60,0.09690256,0.88968676,0.013410763
61,0.012858925,0.0013332807,0.9858078
62,0.08518259,0.8660126,0.04880486
63,0.005795567,0.9911308,0.0030736246
64,0.28030473,0.034322288,0.68537295
65,0.45056528,0.18265307,0.36678165
66,0.022457495,0.9724335,0.005109013
67,0.00911541,0.9883708,0.0025139286
68,0.0031248895,0.9959198,0.0009552449
69,0.60435843,0.10141978,0.29422176
70,0.034120597,0.006681608,0.9591978
71,0.011216869,0.00077384576,0.9880093
72,0.0076656677,0.0010145133,0.99131984
73,0.024426693,0.0025860444,0.9729873
74,0.010184793,0.94553226,0.044282965
75,0.007564028,0.001141734,0.9912942
76,0.0017288536,0.9975216,0.00074956013
77,0.031522743,0.96078134,0.0076958667
78,0.0102253305,0.0015923157,0.98818237
79,0.015489668,0.98055524,0.0039551794
80,0.026416387,0.0017064858,0.97187716
81,0.008495014,0.0005987229,0.99090624
82,0.007854262,0.9900293,0.002116502
83,0.070204414,0.021216823,0.90857875
84,0.0047035133,0.0015243607,0.9937721
85,0.0020432544,0.9971208,0.0008358596
86,0.007583199,0.9906848,0.0017318621
87,0.020888247,0.0026785184,0.9764332
88,0.03307889,0.9622839,0.004637166
89,0.0045603034,0.99377525,0.0016645197
90,0.0024003882,0.00013341843,0.9974662
91,0.023504486,0.0030746378,0.97342086
92,0.07329041,0.010267469,0.9164421
93,0.009231303,0.9884532,0.00231548
94,0.004109923,0.99467057,0.0012194928
95,0.035038624,0.007110025,0.9578513
96,0.016607841,0.0013412224,0.9820509
97,0.04592204,0.003100201,0.95097774
98,0.0030294757,0.9958903,0.001080217
99,0.003568102,2.8746203e-05,0.9964032
100,0.0135396235,0.9835999,0.0028604972
101,0.015355575,0.0012492264,0.9833952
102,0.013961483,0.0014712804,0.98456717
103,0.018158186,0.97600025,0.005841591
104,0.03571722,0.010869153,0.95341367
105,0.007021259,0.0012063653,0.99177235
